object_type,regular_cleaning,conservation_cleaning
collages (visual works) ,15,180
lithographic engravings (prints),7,180
document (object genre),15,365
watches,15,180
telephones,7,180
boxes (container),15,180
needle cases,15,180
plans (maps),15,180
folders (containers),15,90
awards,15,180
chromogenic colour prints,15,180
robes (main garments) ,7,180
goldwork (visual works),15,180
coats (garments),15,180
screen prints ,15,365
developing  tanks,7,180
mirrors ,15,180
pillowcases,15,180
armchairs,15,180
mezzotints (prints),15,365
charcoal drawings,15,180
notes,7,180
film (performing arts) ,15,180
case furniture,15,365
ornaments (object genre),15,180
Qur'ans,15,180
wall hangings,15,180
tobacco boxes,15,180
hammers (tools),15,180
cards (information artefacts),7,365
graduates,15,180
chalices (liturgical vessels),15,180
film reels,15,180
pens (drawing and writing implements),15,180
crosses (visual works),15,365
blouses (main garments),7,180
marriage certificates,15,180
miniatures (toys),15,180
pouches,15,180
photogravures (prints) ,15,90
inkwells,15,180
chess sets,7,180
photographic prints ,15,180
armbands,15,180
terbangs,15,365
travel guidebooks,15,180
carriages (vehicles) ,7,180
loudspeakers,15,180
toothbrushes,15,180
descriptions (documents),15,90
manuscripts (documents),7,180
tombstones (sepulchral monuments),15,180
nautical charts,15,365
topographic maps,15,180
tables (documents),15,180
prints (visual works) ,15,180
wedding dresses,15,180
line drawings (drawings) ,15,365
supplements (document genre),7,180
clippings (information artefacts),15,180
silks (costume by material) ,15,180
acrylic painting (visual works),7,180
krises,15,180
photographs,15,365
installations (exhibitions) ,7,180
portraits,15,180
programmes (documents),15,180
weeklies (publications),15,180
lamps (lighting devices),15,365
scores,15,180
wedding dresses ,15,180
projections (visual works),7,180
playing cards,15,180
warrants,15,365
leaves (plant components),15,180
charts (graphic documents),15,180
depictions (visual works),7,180
Buddhas (visual works) ,15,90
paybooks,15,180
speeches (documents),15,180
covers (closures),7,180
saris (garments),15,365
colour transparencies,15,180
utensils,15,180
tables (support furniture),7,180
letters (correspondance),15,180
covers (closure),7,90
black-and-white slides,15,180
gelatin silver prints ,15,180
double doors,15,180
pamphlets,15,180
dining chairs,15,90
womenswear,7,180
banners,15,180
calligraphy (visual works),15,180
medals,15,90
chests (case furniture),7,180
camera components,15,180
violins,15,180
armlets,15,180
cases (containers),7,180
canes (walking sticks),15,365
fliers (printed matter),15,180
bowls (vessels),7,180
coffeepots,15,180
Ceramics (object genre) ,7,180
trousers,15,365
vests (garments),7,180
sprinkler flasks,15,180
safes (storage containers),7,180
templates (shaping tools),15,180
prayer rugs,15,180
vestments,7,180
multi-channel video installations ,15,365
memorandums,15,180
censers,7,180
pins (jewellery),15,180
condiment vessels,7,180
telescopes,15,180
multimedia works,7,365
radio receivers,15,180
steel engravings (visual works),7,180
suitcases,15,180
motion-picture cameras,7,180
beepers,15,180
aquatints,15,365
stands (support objects),15,180
copperwork (visual works),15,180
single-channel video,15,180
censers ,15,365
notes (documents),15,180
tea services ,7,180
colour prints (photographs),15,90
mortars (grinding tools),15,180
screens (furniture),15,90
paperbacks,15,180
currencies (systems of money),15,180
 orange,15,180
covers (overlying objects),7,90
document genres,15,180
religious objects ,15,180
cloth,15,180
fabric art (visual works) ,15,180
" with the individual interpretation as revealing in the elegant and rhythmic brushwork as well as the unique compositional structure. """,15,180
newsletters,7,365
cigar cases,15,180
passports,15,180
diagrams,15,90
canvas painting ,15,180
pendants (jewellery),15,180
toys (recreational artifacts),15,90
watercolours (paintings) ,15,180
earthenware,15,180
single-sitter portraits ,7,180
folk costume ,15,90
group portraits ,15,180
monthlies (publications),15,180
"please note that though it has been listed as colour photographs, it was actually a monochrome photograph with added colour pigments!",15,90
membership cards,15,180
pins (fasteners),15,180
orders (military records),7,90
paintings (visual works) ,15,180
timers,15,180
neckties,15,90
sketches,15,180
biographies (documents),15,180
postcards,7,180
folk costume,15,180
captions ,15,90
adaptations (derivative objects),15,180
dailies (publications),15,180
illustrated books,15,180
black-and-white prints (photographs),7,90
doorways,15,180
jars ,15,180
rosaries,15,180
ablution ewers,15,90
calculators,15,180
wallets,15,180
drinking vessels ,15,90
cups (drinking vessels) ,7,180
leaflets (printed works),15,180
concert programmes,15,90
compilations (arranged works) ,15,180
receipts (financial records),15,180
photograph albums,15,90
performance art,15,180
shawls,7,180
cartes-de-visite (card photographs),15,180
figurines,7,180
drawings (visual works),7,90
surveys (documents),15,180
cups (drinking vessels),15,90
